commodity_id,hs_code,commodity_desc,fish_type
120,303792094.0,"TILAPIA, FRESH-WATER, FROZEN EX FILLETS/LIVERS/ROE",Tilapia
121,303804040.0,"SALMON ROE, FROZEN",Salmon
122,303890040.0,"TILAPIAS, OTHER THAN OREOCHROMIS SPP., FROZEN, EXCLUDING FILLETS, LIVERS AND ROE",Tilapia
123,304104061.0,TILAPIA FRESH-WATER FILLET & OTH MEAT FRESH/CHILLD,Tilapia
124,304104091.0,"ATLANTIC SALMON(SALMO SALAR) FILLET/OTH MEAT,FR/CH",Salmon
125,304104092.0,"SALMON, NESOI, FILLETS/OTHER MEAT, FRESH/CHILLED",Salmon
126,304104093.0,FARM ATL SALMON(SALMO SALAR) FILLET/OTH MEAT FR/CH,Salmon
127,304104094.0,NOT FARM ATL SALMON(SALMO SALAR)FILLE FRSH/CHLD,Salmon
128,304104096.0,"SALMON, NESOI, FILLETS/OTHER MEAT, FRESH/CHILLED",Salmon
129,304190043.0,"TILAPIA FILLETS AND OTHER MEAT, FRESH OR CHILLED",Tilapia
130,304190064.0,"ATLANTIC SALMON FILLETS ETC, FARMED, FRESH/CHILLED",Salmon
131,304190067.0,"ATLANTIC SALMON FILLETS ETC, FRESH/CHILLED, NESOI",Salmon
132,304190070.0,"SALMON FILLETS AND OTHER MEAT, FRESH/CHILLED NESOI",Salmon
133,304206005.0,"TROUT FILLETS, NESOI, FROZEN",Trout
134,304206006.0,"SALMONIDAE,ATLANTIC(SALMO SALAR),FILLETS,NESOI,FZN",Salmon
135,304206007.0,"SALMONIDAE NESOI FILLETS, NESOI, FROZEN",Salmon
136,304206008.0,"SALMONIDAE FILLETS, NESOI, FROZEN",Salmon
137,304206042.0,"TILAPIA, FRESH-WATER FILLETS NESOI, FROZEN",Tilapia
138,304296005.0,"TROUT FILLETS, FROZEN, NESOI",Trout
139,304296006.0,"ATLANTIC SALMONIDAE FILLETS, FROZEN, NESOI",Salmon
140,304296008.0,"SALMONIDAE FILLETS, FROZEN, NESOI",Salmon
141,304296042.0,"TILAPIA (TILAPIINAE) FILLETS, FROZEN",Tilapia
142,304310000.0,"TILAPIA (OREOCHROMIS) FILLETS, FRESH OR CHILLED",Tilapia
